time,rssi
1627784676.665,-65
1627784676.665,-69
1627784676.665,-76
1627784676.665,-81
1627784676.665,-82
1627784676.665,-83
1627784676.665,-85
1627784676.665,-85
1627784676.665,-87
1627785276.668,-34
1627785276.668,-39
1627785276.668,-41
1627785276.668,-54
1627785276.668,-55
1627785276.668,-62
1627785276.668,-65
1627785276.668,-69
1627785276.668,-76
1627785276.668,-81
1627785276.668,-82
1627785276.668,-83
1627785276.668,-85
1627785276.668,-85
1627785276.668,-87
1627785894.398,-34
1627785894.398,-39
1627785894.398,-41
1627785894.398,-54
1627785894.398,-55
1627785894.398,-62
1627785894.398,-65
1627785894.398,-69
1627785894.398,-76
1627785894.398,-81
1627785894.398,-82
1627785894.398,-83
1627785894.398,-85
1627785894.398,-85
1627785894.398,-87
1627786476.669,-34
1627786476.669,-39
1627786476.669,-41
1627786476.669,-54
1627786476.669,-55
1627786476.669,-62
1627786476.669,-65
1627786476.669,-69
1627786476.669,-76
1627786476.669,-81
1627786476.669,-82
1627786476.669,-83
1627786476.669,-85
1627786476.669,-85
1627786476.669,-87
1627786759.258,-31
1627786759.258,-39
1627786759.258,-41
1627786759.258,-55
1627786759.258,-64
1627786759.258,-67
1627786759.258,-72
1627786759.258,-73
1627786759.258,-74
1627786759.258,-76
1627786759.258,-81
1627786759.258,-86
1627786767.96,-39
1627786767.96,-43
1627786767.96,-55
1627786767.96,-59
1627786767.96,-62
1627786767.96,-64
1627786767.96,-65
1627786767.96,-67
1627786767.96,-69
1627786767.96,-69
1627786767.96,-73
1627786767.96,-76
1627786767.96,-77
1627786767.96,-86
1627787358.306,-39
1627787358.306,-43
1627787358.306,-55
1627787358.306,-59
1627787358.306,-62
1627787358.306,-64
1627787358.306,-65
1627787358.306,-67
1627787358.306,-69
1627787358.306,-69
1627787358.306,-73
1627787358.306,-76
1627787358.306,-77
1627787358.306,-86
1627787958.311,-39
1627787958.311,-43
1627787958.311,-55
1627787958.311,-59
1627787958.311,-62
1627787958.311,-64
1627787958.311,-65
1627787958.311,-67
1627787958.311,-69
1627787958.311,-69
1627787958.311,-73
1627787958.311,-76
1627787958.311,-77
1627787958.311,-86
1627788558.274,-39
1627788558.274,-43
1627788558.274,-55
1627788558.274,-59
1627788558.274,-62
1627788558.274,-64
1627788558.274,-65
1627788558.274,-67
1627788558.274,-69
1627788558.274,-69
1627788558.274,-73
1627788558.274,-76
1627788558.274,-77
1627788558.274,-86
1627789158.264,-39
1627789158.264,-43
1627789158.264,-55
1627789158.264,-59
1627789158.264,-62
1627789158.264,-64
1627789158.264,-65
1627789158.264,-67
1627789158.264,-69
1627789158.264,-69
1627789158.264,-73
1627789158.264,-76
1627789158.264,-77
1627789158.264,-86
1627789285.678,-41
1627789285.678,-43
1627789285.678,-49
1627789285.678,-55
1627789285.678,-64
1627789285.678,-66
1627789285.678,-66
1627789285.678,-68
1627789285.678,-70
1627789285.678,-70
1627789285.678,-75
1627789285.678,-76
1627789285.678,-81
1627789285.678,-86
1627789305.199,-41
1627789305.199,-47
1627789305.199,-54
1627789305.199,-56
1627789305.199,-57
1627789305.199,-59
1627789305.199,-60
1627789305.199,-61
