time,battery_level
1594143128.822,65
1594143175.936,66
1594143218.064,67
1594143248.779,68
1594143310.956,69
1594143372.732,70
1594143428.505,71
1594143492.716,72
1594143552.712,73
1594143612.712,74
1594143657.391,75
1594143732.965,76
1594143792.721,77
1594143885.786,78
1594143912.703,79
1594144023.783,80
1594144042.953,80
1594144043.436,80
1594144047.175,80
1594144047.897,80
1594144147.798,81
1594144199.542,82
1594144287.137,83
1594144374.529,84
1594144458.818,85
1594144527.553,86
1594144627.124,86
1594144647.545,87
1594144685.828,87
1594144685.939,87
1594144695.22,87
1594144695.768,87
1594144735.902,88
1594144861.708,89
1594144947.647,90
1594145110.49,91
1594145235.59,92
1594145320.343,93
1594145410.499,93
1594145410.828,93
1594145606.306,92
1594145666.351,91
1594145819.812,91
1594145820.722,91
1594145919.724,92
1594146000.172,93
1594146214.117,94
1594146327.453,95
1594146566.767,96
1594146662.415,96
1594146662.689,96
1594147760.031,95
1594147824.31,94
1594147922.563,93
1594148016.944,92
1594148077.021,91
1594148206.758,90
1594148287.698,89
1594148342.743,88
1594148439.624,87
1594148477.912,86
1594148598.068,85
1594148667.931,84
1594148723.07,83
1594148843.212,82
1594148911.782,81
1594148971.843,80
1594149062.549,79
1594149166.237,78
1594149226.313,77
1594149347.605,76
1594149348.82,75
1594149741.649,74
1594149801.733,73
1594149899.213,72
1594150036.652,71
1594150191.959,70
1594150242.464,69
1594150407.748,68
1594150862.486,67
1594150982.802,66
1594151164.989,65
1594151209.383,64
1594152007.184,63
1594152062.761,62
1594152104.854,61
1594152276.637,60
1594152432.057,59
1594153054.173,58
1594154149.799,57
1594154328.725,55
1594155640.095,54
1594155996.338,53
1594156290.091,52
1594156363.011,51
1594157260.033,50
1594158472.08,49
1594158532.348,48
1594159263.363,48
1594159590.226,47
1594159863.371,46
1594161905.578,45
1594162703.118,44
1594163062.024,44
1594163924.742,42
1594164976.562,41
1594165496.514,40
1594166407.789,39
1594167493.365,38
1594167854.752,37
1594168551.037,36
1594169096.074,35
1594169660.078,34
1594170063.339,33
1594170624.225,32
1594170816.038,31
1594170884.033,30
1594171787.347,29
1594171863.798,28
1594172078.803,27
1594172103.314,26
1594172337.549,25
1594172457.647,24
1594172604.687,23
1594172664.61,22
1594173094.99,21
1594173223.131,20
1594173270.159,20
1594173465.039,19
1594173873.982,18
1594174549.297,17
1594174610.287,16
1594174794.563,15
1594174931.833,14
1594175051.926,13
1594175294.882,12
1594175407.733,11
1594175549.221,10
1594175743.162,8
1594175888.174,6
1594176063.46,5
1594176105.817,5
1594176106.676,5
1594176161.151,6
1594176286.258,7
1594176307.978,8
1594176408.942,9
1594176505.494,10
1594176586.158,11
1594176678.714,12
1594176766.302,13
1594176826.299,14
1594176862.478,15
1594176955.756,16
1594177050.514,17
1594177126.278,18
1594177186.274,19
1594177306.376,20
1594177366.308,21
1594177405.933,22
1594177491.982,23
1594177577.649,24
1594177663.518,25
1594177726.286,26
1594177786.305,27
1594177835.114,28
1594177919.439,29
1594178003.756,30
1594178080.66,31
1594178146.287,32
1594178206.386,33
1594178266.3,34
1594178314.476,35
1594178389.956,36
1594178446.301,37
1594178534.936,38
1594178566.296,39
1594178678.454,40
1594178746.3,41
1594178747.895,42
1594178817.391,43
1594178866.299,44
1594178953.409,45
1594178986.279,46
1594179093.894,48
1594179164.893,49
1594179226.294,50
1594179286.298,51
1594179370.441,52
1594179406.311,53
1594179466.287,54
1594179510.94,55
1594179578.965,56
1594179646.295,57
1594179693.853,58
1594179766.288,59
1594179819.982,60
1594179886.297,61
1594179922.077,62
1594179993.06,63
1594180066.325,64
1594180114.376,65
1594180186.299,66
1594180240.508,67
1594180275.627,68
1594180346.621,69
1594180408.977,70
1594180486.321,71
1594180577.371,72
1594180662.002,73
1594180746.562,74
1594180810.056,75
1594180965.104,76
1594181074.118,77
1594181159.63,78
1594181245.783,79
1594181326.313,80
1594181386.29,81
1594181434.677,82
1594181522.221,83
1594181615.658,84
1594181686.298,85
1594181749.987,86
1594181866.299,87
1594181928.315,88
1594182048.33,89
1594182166.334,90
1594182286.296,91
1594182406.298,92
1594182507.788,93
1594182675.951,94
1594182791.244,95
1594182999.528,96
1594183169.537,97
1594183421.438,98
1594183631.293,99
1594184008.958,100
1594184050.942,100
1594185492.147,100
1594185492.394,100
1594186692.294,99
1594187892.227,99
1594188492.272,98
1594189362.5,97
1594189626.739,96
1594189829.016,95
1594190200.706,94
1594190570.329,93
1594190642.741,92
1594190742.74,91
1594190892.302,90
1594191130.187,89
1594191492.245,88
1594191853.993,87
1594192879.637,86
1594193161.756,85
1594193280.567,84
1594193530.651,83
1594193650.79,82
1594193891.133,81
1594194117.803,80
1594194268.414,79
1594194468.88,78
1594194963.979,78
1594194986.147,77
1594195691.538,76
1594196794.825,75
1594198589.1,74
1594199038.846,73
1594199100.274,72
1594199212.84,71
1594199244.078,70
1594199576.83,69
1594199856.24,68
1594200255.183,66
1594200523.317,65
1594200828.132,64
1594201084.51,63
1594201252.494,62
1594201707.663,61
1594201900.962,60
1594202235.746,59
1594202862.903,58
1594203311.864,57
1594203645.036,56
1594204091.535,55
1594204638.726,54
1594205140.166,53
1594205591.824,52
1594205651.878,52
1594206356.466,51
1594206895.223,50
1594207289.92,49
1594207350.096,48
1594207383.226,47
1594207445.206,46
1594208112.699,45
1594208791.441,44
1594209276.396,44
1594210026.157,43
1594210038.655,42
1594210102.153,41
1594210188.781,40
1594210198.433,39
1594210588.631,38
1594210758.811,37
1594210858.994,36
1594211039.566,35
1594211186.64,34
1594211291.546,33
1594211455.588,32
1594211662.952,31
1594211943.344,30
1594212081.983,29
1594212244.984,28
1594212614.39,27
1594212858.813,26
1594212916.077,25
1594212976.338,24
1594213201.155,23
1594213504.546,22
1594213751.564,21
1594214106.792,20
1594214160.646,19
1594214444.942,18
1594214631.746,17
1594214891.583,16
1594215338.86,15
1594215354.324,14
1594215457.76,13
1594216509.769,12
1594216520.734,11
1594216972.455,11
1594216972.921,11
1594216973.239,11
1594217032.841,12
1594217092.801,13
1594217152.792,14
1594217167.981,15
1594217235.981,16
1594217305.521,17
1594217373.55,18
1594217438.646,19
1594217502.35,20
1594217572.886,21
1594217573.235,22
1594217636.893,23
1594217692.856,24
1594217752.8,25
1594217812.797,26
1594217872.794,27
1594217891.41,28
1594217953.533,29
1594218014.217,30
1594218052.801,31
1594218137.049,32
1594218172.794,33
1594218232.773,34
1594218247.985,35
1594218304.241,36
1594218352.801,37
1594218412.872,38
1594218467.14,39
1594218507.737,40
1594218588.59,42
1594218641.852,43
1594218695.104,44
1594218748.365,45
1594218772.789,46
1594218832.805,47
1594218857.913,48
1594218911.177,49
1594218952.796,50
1594219012.618,51
1594219072.79,52
1594219096.737,53
1594219180.89,54
1594219181.965,55
1594219233.777,56
1594219288.487,57
1594219341.795,58
1594219372.803,59
1594219432.801,60
1594219475.382,61
1594219500.153,62
1594219553.433,63
1594219601.603,64
1594219647.276,65
1594219685.79,66
1594219769.999,67
1594219787.391,68
1594219849.558,69
1594219896.243,70
1594219972.793,71
1594220022.603,72
1594220065.22,73
1594220092.813,73
1594220148.994,74
1594220173.952,75
1594220246.606,76
1594220317.515,77
1594220392.809,78
1594220443.985,79
1594220512.813,80
1594220612.356,81
1594220640.677,82
1594220729.488,83
